Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,105.099998,105.580002,103.139999,103.860001,103.179153,7045700
2019-02-08,102.449997,104.809998,102.139999,104.550003,103.864632,5392400
2019-02-11,104.709999,105.449997,104.250000,104.760002,104.073257,4553000
2019-02-12,105.930000,106.580002,105.750000,106.440002,105.742241,5316800
2019-02-13,106.790001,108.120003,106.660004,107.150002,106.447586,5965200
2019-02-14,106.779999,108.389999,106.430000,106.970001,106.268768,3438800
2019-02-15,107.830002,107.870003,106.690002,107.570000,106.864830,3604300
2019-02-19,107.110001,107.889999,106.610001,107.279999,106.576729,3188000
2019-02-20,107.720001,108.459999,107.239998,107.940002,107.232407,3692800
2019-02-21,106.970001,107.750000,106.199997,106.639999,105.940926,3933500
2019-02-22,107.900002,108.379997,106.650002,107.309998,106.606537,4392900
2019-02-25,109.000000,109.489998,107.830002,108.190002,107.480766,5750200
2019-02-26,108.150002,108.169998,106.830002,107.269997,106.566795,3740100
2019-02-27,106.419998,106.419998,104.709999,105.709999,105.017021,4395800
2019-02-28,105.180000,105.839996,104.809998,105.779999,105.086563,5465800
2019-03-01,106.860001,107.089996,105.779999,106.760002,106.060143,4164200
2019-03-04,107.459999,108.129997,106.000000,107.400002,106.695946,3278500
2019-03-05,107.669998,107.790001,106.519997,106.570000,105.871384,4008600
2019-03-06,106.599998,106.750000,105.260002,105.419998,104.728928,3568000
2019-03-07,104.849998,105.720001,103.680000,104.949997,104.262001,5362900
2019-03-08,103.690002,105.110001,103.349998,104.860001,104.172600,5180800
2019-03-11,105.160004,106.900002,105.000000,106.449997,105.752174,3319800
2019-03-12,106.849998,107.050003,105.760002,106.519997,105.821709,3047200
2019-03-13,107.160004,108.290001,106.660004,107.580002,106.874771,3911100
2019-03-14,107.260002,107.680000,105.970001,107.099998,106.397911,5393700
2019-03-15,108.000000,110.800003,107.989998,110.739998,110.014046,13932300
2019-03-18,110.050003,111.139999,108.919998,109.809998,109.090141,4408900
2019-03-19,110.580002,110.800003,109.550003,110.019997,109.298767,3592100
2019-03-20,110.139999,110.900002,109.029999,109.629997,108.911324,3829400
2019-03-21,110.010002,112.980003,109.949997,112.220001,111.484352,5772700
2019-03-22,111.720001,112.410004,109.529999,109.680000,108.960999,3773500
2019-03-25,108.129997,109.220001,106.260002,107.110001,106.407845,5479100
2019-03-26,108.279999,108.750000,107.389999,108.330002,107.619850,3085500
2019-03-27,108.389999,108.830002,105.449997,105.970001,105.275322,4797200
2019-03-28,105.989998,106.400002,103.629997,104.910004,104.222275,5386400
2019-03-29,106.050003,106.629997,105.360001,106.070000,105.374664,4327700
2019-04-01,107.989998,108.959999,106.930000,108.639999,107.927818,5349800
2019-04-02,108.970001,110.430000,108.180000,110.279999,109.557068,7005500
2019-04-03,111.879997,114.150002,111.400002,112.750000,112.010872,7036700
2019-04-04,112.379997,114.269997,112.360001,113.239998,112.497658,5035600
2019-04-05,113.809998,114.120003,113.309998,113.629997,112.885101,3318300
2019-04-08,113.800003,115.419998,113.320000,115.220001,114.464684,4580800
2019-04-09,114.550003,114.669998,113.250000,113.940002,113.193077,4648200
2019-04-10,113.879997,115.190002,113.540001,114.919998,114.166649,3013300
2019-04-11,115.059998,115.430000,114.129997,114.879997,114.126907,2799300
2019-04-12,115.779999,117.029999,115.779999,116.760002,115.994591,4881100
2019-04-15,116.610001,117.370003,114.019997,115.089996,114.335533,4265100
2019-04-16,115.839996,116.849998,115.629997,116.370003,115.607147,4133700
2019-04-17,116.970001,117.849998,114.910004,115.599998,114.842194,6227500
2019-04-18,116.180000,116.180000,115.129997,115.510002,114.752785,4195800
2019-04-22,114.529999,115.150002,113.650002,114.949997,114.196449,3691200
2019-04-23,115.400002,116.529999,114.519997,116.379997,115.617073,7547400
2019-04-24,115.000000,119.320000,114.849998,118.430000,117.653641,14483900
2019-04-25,117.839996,118.419998,115.650002,117.169998,116.401901,5315400
2019-04-26,116.000000,117.250000,115.309998,117.209999,116.441635,3582600
2019-04-29,116.730003,117.339996,116.000000,116.699997,115.934975,3407600
2019-04-30,116.879997,118.370003,116.660004,117.830002,117.057571,4533200
2019-05-01,118.059998,118.919998,116.199997,116.290001,115.527672,3335800
2019-05-02,116.400002,118.570000,116.279999,117.459999,116.689995,4532200
2019-05-03,117.459999,117.970001,116.110001,117.470001,117.470001,3689000
2019-05-06,114.120003,116.000000,113.500000,115.860001,115.860001,3974300
2019-05-07,114.000000,114.430000,112.250000,113.930000,113.930000,5923300
